0.384125	0.588062	0.120207	1.967696	0.429858	0.301422	1.507497	0.762258	1.665512	0.749815
0.282260	-0.078917	0.374537	1.603879	0.546631	0.346482	1.129041	0.529530	1.031946	0.392507
0.015098	-0.191719	-0.386461	0.608429	0.318405	0.188390	0.603210	0.059156	0.303052	-0.111733
0.504710	-0.015073	-0.592371	1.756422	0.969650	0.623029	2.099077	1.187118	2.437062	1.487619
0.094679	-0.115884	-0.322087	0.164758	-0.282639	0.230230	0.718986	0.454988	0.763617	0.360157
-0.045986	-0.173626	-0.210723	-0.230247	-0.347701	-0.414703	0.410749	0.196809	0.322235	0.046158
0.205752	-0.091394	-0.332346	0.708715	-0.029745	-0.221528	0.643845	1.022535	1.390596	1.109848
-0.027878	-0.110239	-0.145717	-0.102406	-0.198706	-0.244664	-0.152233	-0.163442	0.586096	0.327338
0.127877	-0.076369	-0.230581	0.530634	-0.023122	-0.104043	0.544841	0.176141	0.869192	1.075936
-0.033607	-0.059938	-0.036969	-0.124767	-0.168922	-0.144807	-0.111624	-0.174247	-0.213137	0.370978
