"Variant","ID","Y","A","B","Visit"
1,1,11.9279371769621,1,3,0
1,1,10.9920774446718,1,3,1
1,1,7.67965837326141,1,2,2
1,1,12.5454192826905,1,3,3
1,1,6.55930066243483,1,2,4
1,2,13.2437201207569,0,3,0
1,2,11.2785402962005,0,3,1
1,2,10.5020181061343,0,3,2
1,2,13.4128015602752,0,3,3
1,2,8.44246475601325,0,2,4
1,3,4.39824838807503,0,2,0
1,3,3.7612723448921,0,2,1
1,3,6.01124355215383,0,2,2
1,3,14.2200361140567,0,3,3
1,3,10.8490622285886,0,3,4
1,4,12.7433308182526,1,3,0
1,4,5.03986249067523,1,2,1
1,4,16.1517370196709,1,3,2
1,4,14.7668432815205,1,3,3
1,4,12.4487562456895,1,3,4
1,5,3.16918173154484,1,2,0
1,5,4.10573786710157,1,2,1
1,5,14.7452373285672,1,3,2
1,5,18.9142789098342,1,3,3
1,5,6.76485863200251,1,1,4
1,6,6.44041924381755,0,2,0
1,6,8.58535369531367,0,1,1
1,6,5.00446400754458,0,1,2
1,6,5.51610839943734,0,2,3
1,6,8.7732657295237,0,2,4
1,7,7.10439863040123,1,2,0
1,7,8.66229636241593,1,1,1
1,7,9.40194736313,1,1,2
1,7,9.29895080794183,1,1,3
1,7,7.94432458238575,1,1,4
1,8,5.81033029820085,0,2,0
1,8,4.0361597846298,0,2,1
1,8,2.0654351287795,0,2,2
1,8,9.3604149177654,0,1,3
1,8,7.59173942599357,0,2,4
1,9,11.6295908072544,1,3,0
1,9,5.684844186272,1,1,1
1,9,6.49619691897997,1,2,2
1,9,15.6757672397447,1,3,3
1,9,9.56914504578784,1,2,4
1,10,12.1281558994345,0,3,0
1,10,4.60662821266658,0,1,1
1,10,16.2685105982144,0,3,2
1,10,5.66874046906935,0,1,3
1,10,12.5824797065019,0,3,4
1,11,5.43134762481481,0,2,0
1,11,7.25445339484041,0,1,1
1,11,8.40316326035686,0,2,2
1,11,10.8444377694662,0,3,3
1,11,14.36377887809,0,3,4
1,12,12.4936065477539,0,3,0
1,12,8.94031242355846,0,1,1
1,12,8.47673151462964,0,1,2
1,12,7.48470411555523,0,1,3
1,12,8.42184957924105,0,2,4
1,13,12.2010870114918,1,3,0
1,13,8.80441364027135,1,1,1
1,13,7.64914373715379,1,2,2
1,13,10.3072982291827,1,3,3
1,13,7.56516663181042,1,2,4
1,14,12.8361376971798,1,3,0
1,14,12.193442760861,1,3,1
1,14,14.6333342694117,1,3,2
1,14,5.75534099202516,1,2,3
1,14,7.04798255498385,1,1,4
1,15,11.467913636978,0,3,0
1,15,5.30726887911882,0,1,1
1,15,7.08638908888943,0,2,2
1,15,1.24824394445992,0,2,3
1,15,14.0681269579825,0,3,4
1,16,11.3937791891572,0,3,0
1,16,7.57841348892427,0,1,1
1,16,14.4516479648696,0,3,2
1,16,4.98439188567936,0,2,3
1,16,5.2771421519652,0,2,4
1,17,10.5036757227521,1,3,0
1,17,5.72209744497498,1,2,1
1,17,15.0577833883551,1,3,2
1,17,8.17158866146436,1,2,3
1,17,7.36258920268824,1,2,4
1,18,5.07703756889597,1,1,0
1,18,3.99960655277865,1,2,1
1,18,13.2587040124676,1,3,2
1,18,7.16848728505515,1,2,3
1,18,9.08205234235496,1,1,4
1,19,8.02276873123291,1,1,0
1,19,13.9072813092593,1,3,1
1,19,12.043717837431,1,3,2
1,19,7.25499417632299,1,2,3
1,19,7.96147962440249,1,1,4
1,20,13.3543335980414,0,3,0
1,20,7.38472419951429,0,1,1
1,20,8.04771979105482,0,1,2
1,20,5.82509258712924,0,1,3
1,20,5.59927094681287,0,2,4
1,21,4.87163593385059,1,2,0
1,21,4.87177671167906,1,2,1
1,21,4.29427576248143,1,2,2
1,21,5.306263269183,1,1,3
1,21,4.78134024261062,1,2,4
1,22,8.24739475704754,1,1,0
1,22,9.31746359408107,1,1,1
1,22,9.96304859539938,1,3,2
1,22,13.389173699148,1,3,3
1,22,7.0417889617699,1,1,4
1,23,6.6095076584092,0,1,0
1,23,11.2196083964637,0,3,1
1,23,7.6758877484925,0,1,2
1,23,13.4713798576039,0,3,3
1,23,12.9955996076967,0,3,4
1,24,6.17310191249693,0,1,0
1,24,3.51452764346883,0,1,1
1,24,5.94715865491014,0,1,2
1,24,13.2382824793696,0,3,3
1,24,16.5771876006963,0,3,4
1,25,7.41382014462165,1,1,0
1,25,12.9626495195301,1,3,1
1,25,5.62568396690366,1,1,2
1,25,9.72019128825709,1,2,3
1,25,7.8481974590317,1,1,4
1,26,9.53624445710419,1,2,0
1,26,13.4963206667054,1,3,1
1,26,7.67254119438002,1,1,2
1,26,7.79860658987363,1,1,3
1,26,3.74245160749418,1,2,4
1,27,2.89969337616153,1,2,0
1,27,6.61766321125447,1,2,1
1,27,14.5709960462743,1,3,2
1,27,7.39659289098508,1,1,3
1,27,3.43236000232908,1,2,4
1,28,7.71367764466291,1,1,0
1,28,5.68537297313496,1,2,1
1,28,15.2340232557705,1,3,2
1,28,12.6711826133276,1,3,3
1,28,10.3887458422479,1,1,4
1,29,12.180714473099,0,3,0
1,29,5.4607747388887,0,1,1
1,29,15.6234671707816,0,3,2
1,29,7.83962792606666,0,1,3
1,29,6.86593596568127,0,1,4
1,30,5.48744572579391,0,2,0
1,30,11.6301472344087,0,3,1
1,30,13.3007105660854,0,3,2
1,30,4.43405595821777,0,1,3
1,30,4.10069005906255,0,2,4
1,31,8.70688140265403,1,1,0
1,31,5.74075204926603,1,1,1
1,31,13.5188187351957,1,3,2
1,31,7.53669444981304,1,2,3
1,31,7.25091582579446,1,2,4
1,32,6.41089076633432,1,2,0
1,32,5.93297394511434,1,2,1
1,32,10.9449519176976,1,3,2
1,32,18.4209875249855,1,3,3
1,32,13.4185932878058,1,3,4
1,33,2.42266439413662,0,2,0
1,33,7.04103608884785,0,1,1
1,33,10.2026496277065,0,1,2
1,33,5.16399649381541,0,1,3
1,33,7.05891280675918,0,2,4
